title,review,star
Wonderful product,These work great for my father who has had a stroke and can't swallow large amounts.,5.0 out of 5 stars
Helps,Just what the terapest wanted,4.0 out of 5 stars
As product description states works great,Love it so far for my father with dysphasia .,5.0 out of 5 stars
Five Stars,"LOVE THIS, my sister has ALS & this helps ensure she doesn't drink too much too fast",5.0 out of 5 stars
Awesome!,Works great for the residents in the healthcare facility I work at!,5.0 out of 5 stars
Great and does what its supposed to do,"Great product, easy to use and provides safety for adults with swallowing issues by limiting the amount of fluid in mouth",5.0 out of 5 stars
Does Help Dysphagia Patients,"I received the Bionix Health at Home Safestraw Drinking Aid for Thin Liquids, the white one.This Straw Aid takes some experimentation and some time to get used to using it. After maybe a few minutes or practice, it works very well!I personally suffer from Dysphagia, a disorder where it can become difficult to swallow. For me, it seems to have been an inherited condition that I have dealt with since childhood. I do not have any mental illnesses or dementia, but since I was a kid, I always had trouble with choking on food or drink, and even sometimes just on my own saliva.My Dad actually died from Dysphagia, from just a simple glass of water! He was an otherwise very healthy person with no mental illness or dementia issues. Since he was a child, he always seemed to have trouble swallowing, so everyone, including him, just accepted that was the way he was. Since I also inherited this trait from childhood, no one in our family thought much of either one of us coughing or choking after eating or drinking, including me.One day when Dad was home alone, he came in from a run and drank a large glass of water, and he started to choke on it. He got some of that water into his lungs, (Pulmonary aspiration). He did not think too much about it at the time, but that particular incident caused infection, which developed into pneumonia. He took a turn for the worse and was finally hospitalized, but by then the pneumonia had gone too far and he died as a result! All from choking on a simple glass of water! So, if you find that you constantly seem to choke or have trouble swallowing foods or drink, please ask your doctor about the possibility of having Dysphagia!So, all that being said, it is highly important for people with these swallowing issues to be able to somewhat control how much they can swallow at a time by using small measured sips. This Safestraw drinking aid does exactly that, by measuring out the small sips and making the person more aware of their drinking/sipping habits.This particular model is for use with only thin liquids, water or water-like in consistency. There are other models for use with thicker liquids.After understanding how this Straw-Aid works, and trying it out for awhile, it has already saved me from choking several times now. Once the unit is properly primed, it takes about 6 seconds after each sip for the plunger to sink back down to the bottom of the unit before the person can take their next sip. It's no big deal after you get used to it, but it can be kind of difficult trying to explain that to a person with dementia.Another small issue is with the size of straws to use. Most of the straws I had in my home were either too small in diameter, or too large, like those boba straws. You need to have the normal sized 1/4 inch diameter straws to use with this Straw Aid. Plastic straws work the best. You can use the bendable straws and just cult the longer end down to a more manageable size. (BTW, you can recycle your plastic straws by washing them out for a few uses! That is what I do!)Anyway, I hope all this helps someone who may be considering this Straw-Aid. I am very happy with it and for my own personal situation with Dysphagia, it may just save my life!",5.0 out of 5 stars
"Has Learning Curve, Needs Assembly Instructions","This BIONIX HEALTH AT HOME SAFESTRAW DRINKING AID FOR THIN LIQUIDS performs as advertised.  However, it has a learning curve--you must (1) sip with the straw you attach (not included) to fill the Safestraw chamber, (2) wait a few seconds for a float to return to the bottom of the chamber, and (3) sip again to drink the measured amount of liquid.This sip-wait-sip action is time-consuming, feels unnatural, and makes it a real chore to drink a full glass of liquid.  Also, I swallow extra air when I use the Safestraw.  I wouldn’t recommend this device for a person just because they have swallowing difficulties.  It seems appropriate only for a dysphagic person who is very unwilling to eat and drink slowly, and thus is in constant danger of aspirating liquid into the lungs.My retail package included NO instructions for proper assembly of the Safestraw.  When I took mine apart for cleaning--it’s dishwasher safe--the float fell out, and I discovered that the float is bullet-shaped (not a cylinder).  After some experimentation, and after examining the product page photos closely, I believe that the pointed end of the float goes into the Safestraw tube first.A disability aid like this one, that must be regularly taken apart for cleaning, should include a leaflet on proper assembly, if it is possible to re-assemble the device incorrectly.  This Safestraw is intended for use with thin liquids only (milk, water, etc.).  Another Safestraw model is available for use with thick liquids (e.g., carbonated or pulpy beverages).",2.0 out of 5 stars
Helpful BUT No Instructions / Drinking Straw Required,"Pros: Discretely dispenses 1 tsp of water or other thin liquid per sip.Cons: Requires a drinking straw to function. Inadequate instructions on box.This little medical aid device is designed to work when a standard 1/4"" bendable drinking straw is inserted into it's top. Depending on the size and height of the drinking glass, and amount of beverage in the glass, for comfort, the straw may need to be trimmed to size.Although it may seem like a standard, inexpensive household item, a disposable, bendable drinking straw, readily available in almost all restaurants, kitchens, schools, and hospitals, may not be available to someone living at home with swallowing problems who has been invalided by surgery or disease and can't manage, or finds it a burden, to get out to shop at the supermarket, or drug store to purchase what they may consider to be an unnecessary, additional expense item.This is compounded by the absence of clear instructions on the box. There are instructions on the Amazon product page, but it is unrealistic to expect that the person requiring and using the drinking aid has either purchased the device themselves, adequately remembers the instructions, or has the product page open when first trying out the device.When used properly, the drinking aid (with straw attached) is inserted into the water. A first sip is taken to ""prime"" the device which then doses a teaspoon of liquid up into the straw. This small volume of water can then be safely swallowed and the sip then repeated.This particular device is for water and other very thin liquids only.A second, separate device is designed for thicker liquids such as ones that have nectar or other thickeners added.A major benefit of this device is that since it is small and sits in the liquid with only a standard straw exposed, it can be used discretely in a restaurant or any other public place.Disposable, bendable paper straws are environmentally friendly and are hygienic.The device is top rack dishwasher safe.It is highly recommended that the manufacturer include instructions in or on the product box and perhaps if a few ""starter"" straws were included as well.",4.0 out of 5 stars
Less Nauseous and less Gas,I have slot of stomach issues including Barrett's Esophagus . ThBionix Health at Home Safestraw is Fantastic! It gives me just the right amount of liquid I need without over doing it.  My straw fits right inside and the Safestraw hides in the beverage. This has helped me not over due my drinking with my meals in a tremendous way. I never knew how overboard I did it until I tested the Safestraw.  Im less nauseous for sure. And I don't get slot of gas. This is a blessing.If I was of any help to you. Please click below to. Let me know. Thank you so much.,5.0 out of 5 stars
for thin liquids,"Very important to note this white straw is for thin liquids only. If you need one for thick liquids you’ll need I buy the blue one. This straw helps prevent choking by limiting the fluid intake of a standard drinking straw. As the patient sips on the SafeStraw, the beverage flows through the valve and into the chamber causing the float to rise. After the float reaches the top of the chamber, the SafeStraw will prevent the patient from receiving any more fluid. Each sip will limit the fluid intake to approximately 6.2 ml (one teaspoon) allowing ability to control the liquid orally and safely swallow.",4.0 out of 5 stars
Doesn't work with all straws,"This straw was meant to work in conjunction with regular size drinking straws.  You cut off part of a regular straw and stick it on the end of this straw.  I have some straws that don't fit, so they don't fit all straws.  The patient has to sip once and then wait for the little doodad in the middle to go back down before sipping again.  Otherwise, the straw will get ""stuck.""  Only a little liquid can be sucked in at a time.  That helps with preventing choking.  Thin liquids only.  You can't use this with shakes.",4.0 out of 5 stars
Needs one important issue improved,Has a critical flaw sadly. I very much wanted this to work. With my MS choking on liquids is scary and happens a lot during flairups. Understandable weakness comes with a flairup. And this is too hard to suck water/broth through. If that issue was fixed this would be an amazing help!,2.0 out of 5 stars
Good concept.  But it was not easy enough to master.,"This is a good idea, and potentially a really useful item.  But it was too hard for my friend to master, and it isn’t durable enough.The concept, it seems to me, is a good one, and a well-designed and sturdy safe straw is something that would make things easier for a lot of people. I hope that Bionix (or someone else) steps up.",3.0 out of 5 stars
Did not work for my husband,My husband said it didn't always dispense even the teaspoon of liquid as advertised.  He felt it was a chore to get enough liquid using it for the one day he tried it.  I would love to return at least the one unused we purchased.,1.0 out of 5 stars
It was recommended by a E,I recently purchased this item for my son who has a history of Epilepsy.  He developed Dysphagia three years ago as a result of uncontrolled seizures he has had in his life.  It was recommended by a E.N.T specialist to try this product as a tool to help control the intake amount of fluids.  I am very impressed with this volume drinking aid tool.  Very easy to assemble straw and easy to use. This drinking aid was worth ordering. Thank you so much for developing this tool.,5.0 out of 5 stars
Don’t buy it,"Awful. I have been a pediatric feeding specialist for years. Terrible design, straw too narrow for people w reduced lip protrusion and only fits plastic straws - which are no longer available in CA. Don’t waste your money.",1.0 out of 5 stars
Advised to use this.,Purchased for another person who was advised by their therapist to use this.,5.0 out of 5 stars
Straw Works Great,"Bought this for a relative recovering from a stroke,  works great.",4.0 out of 5 stars
Potential,While the concept is great the actual product is flawed and seemingly very overpriced. This product has the potential to help certain people while others are still going to have problems. It is all depending on how it's used and who is using it because it can easily be manipulated into failing and still allow choking. If you are able to instruct the person using the straw on the proper usage and they comply it should go over well but if the person using it cannot follow instructions or comprehend how to properly use it then it's a waste of time & money to try. I am giving it a 3 star rating because it really does depend on the individual using it as to how well it works but I will never agree to the price because it's just a simple plastic item and the materials likely cost only pennies. Lower the price and the rating would go up one.,3.0 out of 5 stars
It does the job,"Item came in a box explaining what it is and how to use it. However was not pack into a protective pack or anything so of into a dishwasher it went. Kind of strange that it was not packed in a plastic baggy, but oh well.So what we liked:1. Made in USA - extra kudos for that2. its discreet3. works well enough4. dishwasher safeWhat we did not like it:1. once used - what do you do with it? need to bring your ziplock bag with you :(2. Was not packaged into a protective bag.Works decently enough - though not sure if its true to the volume it claims. As far as recommendations go - we were on the fence. So not sure.",3.0 out of 5 stars
GREAT FOR THOSE WHO HAVE TROUBLE EATING...,"My grandmother drinks a lot more than she eats because of trouble eating/swallowing, & digesting food. This straw makes it easier for her, & I honestly think it’s a great buy. I do recommend it.",5.0 out of 5 stars
It's a succcess,With a hiatal hernia and dysphagia this is a salvation. I am extremely grateful for this invention. My recommendation for people who have these conditions is to have several and also one in the wallet for when we go out to eat out. It is easy to clean. Highly recommended,5.0 out of 5 stars
Works well,"Easy to use. Need to cut a piece of a straw to attach to it, but it is pretty straight forward and indeed slows the flow of a thin beverage so the person doesn’t cough as much while drinking. Much better alternative than the drink thickeners.",5.0 out of 5 stars
Bit Tricky to Use,"Got this for Granny. No instructions were really provided, at least nothing detailed. Seemed to provide too much water? Granny said she would pass on using it.",3.0 out of 5 stars
