,title,review,star,Product,polarity,subjectivity
3,Bellow expectations,"is difficult to be the first negative reviewer mostly because the responsibility on nixing a product or discourage other people to potentially benefit from its use,It was recommended by the Speech Therapist working with my wife,she is a very professional and caring person who has care for her swallowing  difficulties secondary to a severe Parkinson's disease that has rendered her totally prone to chock and unable to swallow liquids.This product has potential,the idea simple on its design could be another tool,however, nothing is more infuriating than receiving a product that requires the customer to get in the car and start shopping for parts that should have been included to be functional,reminds me of the battery operated items that do not include them,or the artifacts requiring a cable not included etc.On a almost 12 dollars gadget like this the producer is not charging for materials as this is a very simple plastic tube with a floating ball like a car battery charge meter,understand what is been charged is really the idea and that is fine,however just do not send this tube on a little box and tell the buyer to go,. had  this tube have included a couple of straws (2 cents) and a plastic cup (30 cents?) will have made the difference between a complaining  buyer  and a happy one,poor marketing,not ready for prime time.Go back to your marketing consultant and ask for a refund on their advice.Oh ya,forgot,does it work? well it depends on many factors,as the amount of liquid available on suction is minimal.in order to bring a reasonable amount of liquid,the person has to develop a certain rhythm , and that is the weakest point, as it requires from a highly disabled patient to understand and WORK at it,if the patient is dysfunctional or highly disabled/impaired  then will pose a challenge and possible inability to use it. I do not think this gadget is meant to be a tool for drinking as much as a tool to wet your mouth.Sorry,you may try,can always return it,I think may do that after a few more days.August 12 updateInitial part with criticism of item remainsas for the use of this item,improved rating up one star.with much encouragement and patience my wife is learning to coordinate her sucking on the straw and time it for a reasonable flow,it certainly is safer than using a regular straw with the risk of a lungs aspiration.With available alternatives at an armed robbery cost,this unit is more than generously priced,hope could increase rating one more star,time will tell.August 13goes back,just does not work.",1.0 out of 5 stars,soupbionixthin.csv,0.10151544401544402,0.47485248985248973
4,Excellent product,"Item worked beyond expectations. My aunt can now drink through a straw again without getting choked. Good for stroke patients or anyone who has an issue with drinking too quickly. Item arrived less than 24 hours after we placed the order. We are very grateful as we couldn't find this product at any of our local medical equipment or home health stores. Thank you so much, highly recommended.",5.0 out of 5 stars,soupbionixthin.csv,0.17523809523809522,0.2866666666666667
5,Great product but prepare for learning curve,This is a great product when used correctly and right viscosity of liquid. It has a purpose and does what it should to prevent aspiration. That being said be prepared for person drinking hating it at first and be ready to encourage them it will supply a small sip which they can swallow safely. Sucking harder won't help.,5.0 out of 5 stars,soupbionixthin.csv,0.24081632653061225,0.43129251700680266
6,Doesn't work,Did not work the way I was expecting. Tried it with my patient and they quickly over powered it and got too much liquid at one time. Very disappointed. I was hopeful.,1.0 out of 5 stars,soupbionixthin.csv,-0.14722222222222225,0.5583333333333333
7,Works ok,Works ok most of the time if you don’t over power it.,5.0 out of 5 stars,soupbionixthin.csv,0.5,0.5
8,Didn't Work,This doesn't work! It still allows too much water into the mouth.,1.0 out of 5 stars,soupbionixthin.csv,0.2,0.2
9,Helps with swallowing,This accessory to the straw helps with drinking water and other liquids in that the accessory allows only a sip at a time.  This prevents choking on ppl that need help with swallowing.,5.0 out of 5 stars,soupbionixthin.csv,-0.0625,0.6875
10,Wonderful product,These work great for my father who has had a stroke and can't swallow large amounts.,5.0 out of 5 stars,soupbionixthin.csv,0.5071428571428571,0.5892857142857143
11,Helps,Just what the terapest wanted,4.0 out of 5 stars,soupbionixthin.csv,0.0,0.0
12,As product description states works great,Love it so far for my father with dysphasia .,5.0 out of 5 stars,soupbionixthin.csv,0.3,0.8
13,Five Stars,"LOVE THIS, my sister has ALS & this helps ensure she doesn't drink too much too fast",5.0 out of 5 stars,soupbionixthin.csv,0.3,0.4666666666666666
14,Awesome!,Works great for the residents in the healthcare facility I work at!,5.0 out of 5 stars,soupbionixthin.csv,1.0,0.75
15,Great and does what its supposed to do,"Great product, easy to use and provides safety for adults with swallowing issues by limiting the amount of fluid in mouth",5.0 out of 5 stars,soupbionixthin.csv,0.41111111111111115,0.5611111111111112
16,Does Help Dysphagia Patients,"I received the Bionix Health at Home Safestraw Drinking Aid for Thin Liquids, the white one.This Straw Aid takes some experimentation and some time to get used to using it. After maybe a few minutes or practice, it works very well!I personally suffer from Dysphagia, a disorder where it can become difficult to swallow. For me, it seems to have been an inherited condition that I have dealt with since childhood. I do not have any mental illnesses or dementia, but since I was a kid, I always had trouble with choking on food or drink, and even sometimes just on my own saliva.My Dad actually died from Dysphagia, from just a simple glass of water! He was an otherwise very healthy person with no mental illness or dementia issues. Since he was a child, he always seemed to have trouble swallowing, so everyone, including him, just accepted that was the way he was. Since I also inherited this trait from childhood, no one in our family thought much of either one of us coughing or choking after eating or drinking, including me.One day when Dad was home alone, he came in from a run and drank a large glass of water, and he started to choke on it. He got some of that water into his lungs, (Pulmonary aspiration). He did not think too much about it at the time, but that particular incident caused infection, which developed into pneumonia. He took a turn for the worse and was finally hospitalized, but by then the pneumonia had gone too far and he died as a result! All from choking on a simple glass of water! So, if you find that you constantly seem to choke or have trouble swallowing foods or drink, please ask your doctor about the possibility of having Dysphagia!So, all that being said, it is highly important for people with these swallowing issues to be able to somewhat control how much they can swallow at a time by using small measured sips. This Safestraw drinking aid does exactly that, by measuring out the small sips and making the person more aware of their drinking/sipping habits.This particular model is for use with only thin liquids, water or water-like in consistency. There are other models for use with thicker liquids.After understanding how this Straw-Aid works, and trying it out for awhile, it has already saved me from choking several times now. Once the unit is properly primed, it takes about 6 seconds after each sip for the plunger to sink back down to the bottom of the unit before the person can take their next sip. It's no big deal after you get used to it, but it can be kind of difficult trying to explain that to a person with dementia.Another small issue is with the size of straws to use. Most of the straws I had in my home were either too small in diameter, or too large, like those boba straws. You need to have the normal sized 1/4 inch diameter straws to use with this Straw Aid. Plastic straws work the best. You can use the bendable straws and just cult the longer end down to a more manageable size. (BTW, you can recycle your plastic straws by washing them out for a few uses! That is what I do!)Anyway, I hope all this helps someone who may be considering this Straw-Aid. I am very happy with it and for my own personal situation with Dysphagia, it may just save my life!",5.0 out of 5 stars,soupbionixthin.csv,0.07983848510164299,0.43595098858256753
17,"Has Learning Curve, Needs Assembly Instructions","This BIONIX HEALTH AT HOME SAFESTRAW DRINKING AID FOR THIN LIQUIDS performs as advertised.  However, it has a learning curve--you must (1) sip with the straw you attach (not included) to fill the Safestraw chamber, (2) wait a few seconds for a float to return to the bottom of the chamber, and (3) sip again to drink the measured amount of liquid.This sip-wait-sip action is time-consuming, feels unnatural, and makes it a real chore to drink a full glass of liquid.  Also, I swallow extra air when I use the Safestraw.  I wouldn’t recommend this device for a person just because they have swallowing difficulties.  It seems appropriate only for a dysphagic person who is very unwilling to eat and drink slowly, and thus is in constant danger of aspirating liquid into the lungs.My retail package included NO instructions for proper assembly of the Safestraw.  When I took mine apart for cleaning--it’s dishwasher safe--the float fell out, and I discovered that the float is bullet-shaped (not a cylinder).  After some experimentation, and after examining the product page photos closely, I believe that the pointed end of the float goes into the Safestraw tube first.A disability aid like this one, that must be regularly taken apart for cleaning, should include a leaflet on proper assembly, if it is possible to re-assemble the device incorrectly.  This Safestraw is intended for use with thin liquids only (milk, water, etc.).  Another Safestraw model is available for use with thick liquids (e.g., carbonated or pulpy beverages).",2.0 out of 5 stars,soupbionixthin.csv,0.007894736842105246,0.44922402159244257
18,Helpful BUT No Instructions / Drinking Straw Required,"Pros: Discretely dispenses 1 tsp of water or other thin liquid per sip.Cons: Requires a drinking straw to function. Inadequate instructions on box.This little medical aid device is designed to work when a standard 1/4"" bendable drinking straw is inserted into it's top. Depending on the size and height of the drinking glass, and amount of beverage in the glass, for comfort, the straw may need to be trimmed to size.Although it may seem like a standard, inexpensive household item, a disposable, bendable drinking straw, readily available in almost all restaurants, kitchens, schools, and hospitals, may not be available to someone living at home with swallowing problems who has been invalided by surgery or disease and can't manage, or finds it a burden, to get out to shop at the supermarket, or drug store to purchase what they may consider to be an unnecessary, additional expense item.This is compounded by the absence of clear instructions on the box. There are instructions on the Amazon product page, but it is unrealistic to expect that the person requiring and using the drinking aid has either purchased the device themselves, adequately remembers the instructions, or has the product page open when first trying out the device.When used properly, the drinking aid (with straw attached) is inserted into the water. A first sip is taken to ""prime"" the device which then doses a teaspoon of liquid up into the straw. This small volume of water can then be safely swallowed and the sip then repeated.This particular device is for water and other very thin liquids only.A second, separate device is designed for thicker liquids such as ones that have nectar or other thickeners added.A major benefit of this device is that since it is small and sits in the liquid with only a standard straw exposed, it can be used discretely in a restaurant or any other public place.Disposable, bendable paper straws are environmentally friendly and are hygienic.The device is top rack dishwasher safe.It is highly recommended that the manufacturer include instructions in or on the product box and perhaps if a few ""starter"" straws were included as well.",4.0 out of 5 stars,soupbionixthin.csv,0.021597222222222226,0.3992592592592592
19,Less Nauseous and less Gas,I have slot of stomach issues including Barrett's Esophagus . ThBionix Health at Home Safestraw is Fantastic! It gives me just the right amount of liquid I need without over doing it.  My straw fits right inside and the Safestraw hides in the beverage. This has helped me not over due my drinking with my meals in a tremendous way. I never knew how overboard I did it until I tested the Safestraw.  Im less nauseous for sure. And I don't get slot of gas. This is a blessing.If I was of any help to you. Please click below to. Let me know. Thank you so much.,5.0 out of 5 stars,soupbionixthin.csv,0.17367724867724868,0.5168871252204587
20,for thin liquids,"Very important to note this white straw is for thin liquids only. If you need one for thick liquids you’ll need I buy the blue one. This straw helps prevent choking by limiting the fluid intake of a standard drinking straw. As the patient sips on the SafeStraw, the beverage flows through the valve and into the chamber causing the float to rise. After the float reaches the top of the chamber, the SafeStraw will prevent the patient from receiving any more fluid. Each sip will limit the fluid intake to approximately 6.2 ml (one teaspoon) allowing ability to control the liquid orally and safely swallow.",4.0 out of 5 stars,soupbionixthin.csv,0.06571428571428571,0.41607142857142854
21,Doesn't work with all straws,"This straw was meant to work in conjunction with regular size drinking straws.  You cut off part of a regular straw and stick it on the end of this straw.  I have some straws that don't fit, so they don't fit all straws.  The patient has to sip once and then wait for the little doodad in the middle to go back down before sipping again.  Otherwise, the straw will get ""stuck.""  Only a little liquid can be sucked in at a time.  That helps with preventing choking.  Thin liquids only.  You can't use this with shakes.",4.0 out of 5 stars,soupbionixthin.csv,-0.010879629629629628,0.4243945868945869
22,Needs one important issue improved,Has a critical flaw sadly. I very much wanted this to work. With my MS choking on liquids is scary and happens a lot during flairups. Understandable weakness comes with a flairup. And this is too hard to suck water/broth through. If that issue was fixed this would be an amazing help!,2.0 out of 5 stars,soupbionixthin.csv,0.05305555555555556,0.6169444444444444
23,Good concept.  But it was not easy enough to master.,"This is a good idea, and potentially a really useful item.  But it was too hard for my friend to master, and it isn’t durable enough.The concept, it seems to me, is a good one, and a well-designed and sturdy safe straw is something that would make things easier for a lot of people. I hope that Bionix (or someone else) steps up.",3.0 out of 5 stars,soupbionixthin.csv,0.38166666666666665,0.44833333333333336
24,Did not work for my husband,My husband said it didn't always dispense even the teaspoon of liquid as advertised.  He felt it was a chore to get enough liquid using it for the one day he tried it.  I would love to return at least the one unused we purchased.,1.0 out of 5 stars,soupbionixthin.csv,0.06666666666666667,0.5
25,It was recommended by a E,I recently purchased this item for my son who has a history of Epilepsy.  He developed Dysphagia three years ago as a result of uncontrolled seizures he has had in his life.  It was recommended by a E.N.T specialist to try this product as a tool to help control the intake amount of fluids.  I am very impressed with this volume drinking aid tool.  Very easy to assemble straw and easy to use. This drinking aid was worth ordering. Thank you so much for developing this tool.,5.0 out of 5 stars,soupbionixthin.csv,0.31833333333333336,0.4604166666666667
26,Don’t buy it,"Awful. I have been a pediatric feeding specialist for years. Terrible design, straw too narrow for people w reduced lip protrusion and only fits plastic straws - which are no longer available in CA. Don’t waste your money.",1.0 out of 5 stars,soupbionixthin.csv,-0.3333333333333334,0.6333333333333333
27,Advised to use this.,Purchased for another person who was advised by their therapist to use this.,5.0 out of 5 stars,soupbionixthin.csv,0.0,0.0
28,Straw Works Great,"Bought this for a relative recovering from a stroke,  works great.",4.0 out of 5 stars,soupbionixthin.csv,0.4,0.375
29,Potential,While the concept is great the actual product is flawed and seemingly very overpriced. This product has the potential to help certain people while others are still going to have problems. It is all depending on how it's used and who is using it because it can easily be manipulated into failing and still allow choking. If you are able to instruct the person using the straw on the proper usage and they comply it should go over well but if the person using it cannot follow instructions or comprehend how to properly use it then it's a waste of time & money to try. I am giving it a 3 star rating because it really does depend on the individual using it as to how well it works but I will never agree to the price because it's just a simple plastic item and the materials likely cost only pennies. Lower the price and the rating would go up one.,3.0 out of 5 stars,soupbionixthin.csv,0.10297619047619047,0.48980654761904757
30,It does the job,"Item came in a box explaining what it is and how to use it. However was not pack into a protective pack or anything so of into a dishwasher it went. Kind of strange that it was not packed in a plastic baggy, but oh well.So what we liked:1. Made in USA - extra kudos for that2. its discreet3. works well enough4. dishwasher safeWhat we did not like it:1. once used - what do you do with it? need to bring your ziplock bag with you :(2. Was not packaged into a protective bag.Works decently enough - though not sure if its true to the volume it claims. As far as recommendations go - we were on the fence. So not sure.",3.0 out of 5 stars,soupbionixthin.csv,-0.02777777777777779,0.6753086419753086
31,GREAT FOR THOSE WHO HAVE TROUBLE EATING...,"My grandmother drinks a lot more than she eats because of trouble eating/swallowing, & digesting food. This straw makes it easier for her, & I honestly think it’s a great buy. I do recommend it.",5.0 out of 5 stars,soupbionixthin.csv,0.425,0.5875
32,It's a succcess,With a hiatal hernia and dysphagia this is a salvation. I am extremely grateful for this invention. My recommendation for people who have these conditions is to have several and also one in the wallet for when we go out to eat out. It is easy to clean. Highly recommended,5.0 out of 5 stars,soupbionixthin.csv,0.167,0.6146666666666667
33,Works well,"Easy to use. Need to cut a piece of a straw to attach to it, but it is pretty straight forward and indeed slows the flow of a thin beverage so the person doesn’t cough as much while drinking. Much better alternative than the drink thickeners.",5.0 out of 5 stars,soupbionixthin.csv,0.19722222222222222,0.6305555555555556
34,Bit Tricky to Use,"Got this for Granny. No instructions were really provided, at least nothing detailed. Seemed to provide too much water? Granny said she would pass on using it.",3.0 out of 5 stars,soupbionixthin.csv,0.125,0.3875
0,Don't waste your money!,"I was looking for a device to control the amount of liquid dispensed in a ""sip."" This cup does not work that way. The full amount of liquid in the cup could be dispensed in one sip even though you could make it flow faster or slower. Doesn't work for my needs - a person who puts as much as she can possibly hold in her mouth and then can't swallow it. I chose this cup over some marked ""disphagia"" cup as those dispensed only 1 or 2 teaspoons of liquid - not enough. This $40 cup is worth at most a couple of dollars. It is cheap plastic. The lid didn't fit securely and could be easily removed by a ""curious"" person. The tab which controlled the flow could not be secured properly. It felt and looked like something you would get at the dollar store. Don't waste your money.",1.0 out of 5 stars,soupikinsman.csv,0.18555555555555553,0.538888888888889
1,"It is a great idea, and I was hopeful that this would ...","I work as a speech-language pathologist with adults with developmental disabilities. This cup didn't work because the plastic material cracked when the individual dropped it. This kind of plastic is not appropriate due to lack of durability. Disabled adults often have motor and coordination problems, and thus this product needs to be made of a different material. It also didn't work well with thin liquids and was difficult to adjust to appropriate settings. It is a great idea, and I was hopeful that this would be just the right therapeutic cup for this individual. Unfortunately, it wasn't. I hope I can get a reimbursement for this.",1.0 out of 5 stars,soupikinsman.csv,0.01620879120879121,0.6239010989010989
2,Works but not for all. Mfg unresponsive.,"Bought for my wife who has a motor disease, which is really what this is intended for. I had a question and submitted it to the manufacturer on their website but never got an answer. I bought it anyway because I will do anything for my wife. It really does not work for her but certainly could for others. I think it's way overpriced, it would be an excellent cup at $10, at $50 it's overpriced.",3.0 out of 5 stars,soupikinsman.csv,0.4035714285714286,0.4928571428571429
3,Wedge cup,Worked as intended,4.0 out of 5 stars,soupikinsman.csv,0.0,0.0
4,Works great!,"Very Pricey, but can't find anything that works as well as this cup for honey thick liquids.  Also all gives independence of being able to drink alone rather than someone having to spoon the drinks.",5.0 out of 5 stars,soupikinsman.csv,0.13333333333333333,0.4666666666666666
5,Five Stars,Fast delivery..exactly what I needed,5.0 out of 5 stars,soupikinsman.csv,0.2,0.6
6,"Works well, not well made",These work well for people with swallowing difficulties BUT are not well made.  The outside of the cup cracks/breaks beyond use pretty easily and then you're stuck with a useless $40 cup.  I have contacted the manufacturer to see about a replacement piece but have not heard back.,3.0 out of 5 stars,soupikinsman.csv,0.03666666666666667,0.4166666666666667
7,Very functional but poor material,This cup have given my mother the independence she needs. It functions great but It is not very durable.  It claims to be dishwasher safe but the lid will get ruin in the dishwasher.  It will shrink.  The cup is very fragile. It breaks easy.  Very expensive and should be made from quality materials.  I just ordered three more after the dishwasher disaster. I have spent a total of $260 in less than two months.  I recommend caution with hot liquids and the dishwasher. Otherwise it is a great product for those who need it.,3.0 out of 5 stars,soupikinsman.csv,0.18888888888888888,0.58
8,Did not work as well as expected. Too difficult ...,Did not work as well as expected.  Too difficult getting a drink - have to hold head back to get a drink.,3.0 out of 5 stars,soupikinsman.csv,-0.19999999999999998,0.4666666666666666
9,Five Stars,These cups are perfect for what we are using them for.,5.0 out of 5 stars,soupikinsman.csv,1.0,1.0
0,"Great for people who cannot, for whatever reason(s) drink from regular, open-top  cups","My bedridden husband can still drink from cups, thanks to this special design! I got depressed one day, worrying that he suddenly needed tube-feedings. My husband of 21 years had suddenly stopped easily drinking liquids, and was also, not eating food! He has advanced stage Parkinson's Disease and Dementia now, and he no longer could hold cups, nor drink from them without contents spilling everywhere. I bought a food processor, only to see that he still wants REAL solid foods, not mush. Still working at ensuring he continues to get proper, solid- foods nutrition. But these cups now easily allow for him to drink his Ensure Plus, his water, even Pepsi, and whatever else he still craves! And there are two drinking options: the sippy-cup top that lets him drink through a sprout, or the flat-top-with-a-hole, that lets him drink from the cup through a straw inserted through that hole. I prefer the sippy nozzle top, but my husband's brother sometimes uses that straw-through-hole top, since I guess he thinks that makes my husband look more macho (smile)!",5.0 out of 5 stars,soupindependenceplastic.csv,0.27675070028011206,0.44635854341736686
1,She has very bad arthritis throughout her body and holding hot cups is ...,I bought this for my mother to try to heat up water in the microwave to make her coffee or tea. She has very bad arthritis throughout her body and holding hot cups is difficult and dangerous but with the two handles she can hold it safely. The description said it is microwave safe but I would not do it with the lid on. She heats up her water for 2 minutes with no issues as far as warping or any type of damage. Also the lid with the spout helps her drink if she is in bed. I would highly recommend it for anyone that is bedridden or has problems with their hands.,5.0 out of 5 stars,soupindependenceplastic.csv,-0.06249999999999997,0.7695833333333334
2,Excellent producr,"My mom with dementia had a stroke and was having a hard time with drinking from different kind of glasses and cups for her water, hot tea, etc.  I tried many kinds.  This two-handled mug did the trick for her!  It will take hot or cold fluids.  The big plus is that she can see how much is in the mug as she's lifting it to her lips so can anticipate how to swallow.  The bigger plus is that she can manage drinking now independently so she now has more dignity when eating: hurray!",5.0 out of 5 stars,soupindependenceplastic.csv,0.13819444444444445,0.5555555555555556
3,Great Cup for Older Adults,We purchased this set of cups for my 87 year old mother-in-law. She has strength and balance issues along with essential tremors. These cups make it easy for her to drink from without spilling anything. The handles are easy to grab and hold. The base it wider than the cup making it easy to sit down as well.,5.0 out of 5 stars,soupindependenceplastic.csv,0.06349206349206349,0.6126984126984126
4,Excellent solution for hand tremors.,"This works very well for people with hand tremors or weakness in their hands. The cup can be held with one or two hands, gets pleasantly warm with hot coffee but not hot to the touch. The spout allows drinking without spilling, huge benefit with tremors. Lid is a tight seal. My mom loves it!",5.0 out of 5 stars,soupindependenceplastic.csv,0.1836309523809524,0.6309523809523809
5,As described,"I bought these for my mother in law who is in assisted living.  They are as described but she is unable to use them as they are not 100% spill proof.  Again, they are not listed as spill proof, I just didn't read.",4.0 out of 5 stars,soupindependenceplastic.csv,-0.5,0.5
6,Great for anyone with limited hand mobility,"My grandma has arthritic hands that limit her mobility to grasp items. These mugs with handles help her to drink her beverages independently. She doesn’t drink anything warm, so I don’t know how they handle hot beverages. They do tend to crack after a year or two ( this is a reorder). We only handwash these mugs. My only complaint to improve these mugs is to make the lids easier to remove. With that said, these mugs with handles have changed my grandmother’s life tremendously.",5.0 out of 5 stars,soupindependenceplastic.csv,0.1261904761904762,0.6821428571428572
7,Just what we needed.,"These 8 oz. cups are great. They have the volume markings on the side of the cup, making thickening supplements much easier to calculate.  I like that the cups come with 2 different types of lids,  so we could choose the one appropriate for dad. I purchased one twin pack and was so satisfied that I came back and ordered another. These are exactly the same cups that the speech therapist used in rehab.",5.0 out of 5 stars,soupindependenceplastic.csv,0.28125,0.428125
8,Just what he needed!,"My 99 year old Dad has lost a lot of his fine motor skills, and I'd already switched him over to an adaptive plate and flatware when I found these cups. His immediate response was ""where have you been hiding this?"". I'm just sorry I didn't find them sooner! They're perfect for his needs.",5.0 out of 5 stars,soupindependenceplastic.csv,0.22291666666666668,0.675
9,Recommend,"Very pleased with this product.My husband ha Alzheimer’s and it’s getting very hard for him to use a regular cup.These cups came quickly,and well packaged.For us, they’re working great, my husband can use one handle on good days and two handles on not so good days.A big plus is they do not look child like and give him the dignity he’ll always have.",5.0 out of 5 stars,soupindependenceplastic.csv,0.35297619047619044,0.5472985347985347
10,Easy to spill,It depends on why they are using these of course.  Don't expect them to last very long if they are dropped often.  They are hard plastic.  My elderly father would twirl them upside down and everything poured out.  They have no internal straw or spill resistant feature.  Good for those that regular cups slide out of their hands.,4.0 out of 5 stars,soupindependenceplastic.csv,0.026825396825396815,0.2991636141636142
11,Didn’t work for us,I got these mugs for an elderly patient who often has trouble swallowing. She didn't like the sippy aspect. I didn’t like how hard it was to pry the lid off although I'm sure they need to be so tight to prevent leaks. Most elderly people would never be able to remove the lid themselves.,3.0 out of 5 stars,soupindependenceplastic.csv,0.13829365079365077,0.5068783068783068
12,Needed this for my Mom and her room mate,"These arrived quickly and they were well packed and in great shape. My Mom's room mate has MS and she's happy to use these, as it makes drinking something an independent job. Mom likes the cups as well. Thank you!",5.0 out of 5 stars,soupindependenceplastic.csv,0.48333333333333334,0.59375
