title,review,star
Needed this for my Mom and her room mate,"These arrived quickly and they were well packed and in great shape. My Mom's room mate has MS and she's happy to use these, as it makes drinking something an independent job. Mom likes the cups as well. Thank you!",5.0 out of 5 stars
LOVE THE HOLE ON TOP FOR STRAWS USE & NO TIP OVERS!,I use them for a special needs adult who can drink from a straw. The hole on top makes it perfect for that use. It is tip proof with the wide base design! The lids fit very snug. Safe to clean on top rack of dishwasher. They hold 10 oz of cold or gently warmed liquids easily.,5.0 out of 5 stars
All Cons,"Pros: none.Cons: drinks poured out of spout, closing “air hole” had little effect; drinks poured out of air hole when cup was tipped; cups look cheaply madeI was EXTREMELY disappointed. Sending back, of course.",1.0 out of 5 stars
Almost life changing,My buddy has Parkinsons and is sometimes very shaky. Until I bought this cup visits were fraught with struggling with spills. Now he gets to drink all his drink and I don't have to do all that cleanup.,5.0 out of 5 stars
Helpful Cups,"These cups are perfect for my elderly mother.  She has Alzheimer's and has lost strength in her hands.  After dropping a few glasses, we've found that these are much easier for her to handle.",5.0 out of 5 stars
Great for seniors,"I ordered these for my 102 y/o Mother who has trouble using a glass.  The two handles make it easy for her to hold, it survived a crash on a hard floor and has a nice small spout to fit in her mouth.",5.0 out of 5 stars
Helps my dad be independent.,I purchased these for my father who recently had an accident which left him quadriplegic.  He is learning to use his hands and these help his ability to drink by himself. It never leaks and burns him with coffee like the others.,5.0 out of 5 stars
Just what we needed,"The lids are very tight, and secure. I am sure they will loosen a bit, but I have to work the lids off a little at a time. Great help so far.",5.0 out of 5 stars
The product serves the purpose,It worked for an elderly person that was having difficulty holding a cup due to a stroke,5.0 out of 5 stars
Good quality good product but for dad with dementia,Purchase this for my 92-year-old dad with dementia very easy to use he can independently drink from it good product,5.0 out of 5 stars
Great for RA,Great product to maintain independence with  RA.,5.0 out of 5 stars
Broken lid,Cups seems like they will work well for the 93 year old we purchased them for. One of the cups came with a broken lid so we are sharing 1 lid for the 2 cups. This came in an envelope not a box so obviously at some point it was crushed or dropped I do not believe this is a product that should come in an envelope only,4.0 out of 5 stars
Good for someone with weak hands,I bought these 2 handled plastic cups for my mom who has carpal tunnel/ weak hands.She can lift these easily. I gave these cups a 4 because the lids are VERY hard for her to put on and take off.,4.0 out of 5 stars
"Great product, easy to use/clean",My husband was almost completely paralyzed in his hands. He was able to get 3 fingers into the one handle and get it to his mouth to use the spout. It became essential to his independence after he lost his ability to use a straw. It did not require a strong sucking ability. He raved about these cups. Having 2 meant he could have an ice water nearby and his morning coffee.,5.0 out of 5 stars
Reduced spills,"The double handles make it easier for mom to pickup and hold onto this cup. The easy on/off lid seals well, preventing spills. Durable. Clear makes it easier to see inside. Love these cups!",5.0 out of 5 stars
Leaks at Seam.,Product continues to not stand up in dishwasher even though dishwasher safe.Great concept but have had to replace to frequently due to cracks then leaking from bottom where center seal is set.  Have not found a cup that works better for what is needed.  Expensive for short term use.,3.0 out of 5 stars
Good product,"Bought these for my grandma, her hands shake a lot. Sheld them with ease and they are lightweight. I might buy a couple more.",5.0 out of 5 stars
Great cups for intentional tremors,"Because of intentional tremors, Dad needed a special, large grip, transparent coffee, etc cup & these cups are perfect!! He immediately loved them. Have not used the lids yet, but extremely pleased!!! Thank You!!!",5.0 out of 5 stars
Helps the disabled to feel more independent,Product is perfect for my husband’s disability.,5.0 out of 5 stars
Great cup for weak hands.,Cup is perfect for my mom who has very little use of her right hand and has weak fingers in her left hand.  The lid with the two small holes enabled her to drink sip her hot coffee comfortably rather than having to have lukewarm coffee from a straw.,5.0 out of 5 stars
Note Size,"This product would probably be good for children with small hands.  Honestly I did not pay attention to the size of it when purchasing it, for my handicapped adult brother it is too small.  However, like I say, it may not be fair for me to leave a feedback as I myself failed to pay attention to its small size that other customers I am sure will find just perfect.",2.0 out of 5 stars
Great for my mom,"Perfect for my Mom, who is in a memory care residence. I like that there is no design, as I didn't want my mom to feel self conscious.",5.0 out of 5 stars
COULDN'T DO WITHOUT IT!,Mom uses this cup to drink all her cold fluids.  She can easily see what is in it and lift it to drink with no problem.  She doesn't always use both hands but can easily lift it with one hand if it is not too full.  This purchase was to replace one that was cracked.  I purchased the two pack so I would always have a back up.  Thanks great product.  Delivered in a timely fashion.,5.0 out of 5 stars
Helpful for independence,Very nice solution,5.0 out of 5 stars
These are perfect for our needs,"These are perfect for our needs.  My husband has Parkinsons Disease and they are perfect for him to drink liquids from.  So far he doesn't need the lids, but glad to have them if and when he does.",5.0 out of 5 stars
Wonderful!,I buy these for my 93 year old mother-in-law who loves them.  She can safely drink her morning coffee or cool beverages without worries of spilling.,5.0 out of 5 stars
Great cups!,"Perfect for my disabled husband, he has a hard time reaching for drinks & spilling.",5.0 out of 5 stars
Easy to hold as I broke both arms & use daily.,I have 8 of these cups & use them everyday.,5.0 out of 5 stars
Grandma loves her two handled cup,"Easy to clean/ use, Grandma likes the two handles so she can hold it steady on her own to drink water & Juice",5.0 out of 5 stars
Easy to use!,My mother has a frozen shoulder on one side and weakness in the other arm and was constantly spilling liquids on herself and others sitting with her. This cup has given her back the ability to drink without spilling and that has helped to boost her self esteem back up.,5.0 out of 5 stars
Satisfied,"Helped my mother with deformed hands caused by arthritis. Quick shipping, dishwasher safe.",4.0 out of 5 stars
Functionality,The lids are very tight which has made it  difficult to open. Being that they were purchased for a person with a disability this has made it even more difficult. Other than that the product is great and it has served its purpose.,4.0 out of 5 stars
"These ""sippy cups "" work great for my mom","These ""sippy cups "" work great for my mom. They do not leak, are safe in the dish washer and the microwave.",5.0 out of 5 stars
The product doing the job,"Easy to handle. I do not like my reviews changed. The product is ok, but the seller doesn't need to add or change.",5.0 out of 5 stars
Great for anyone having a problem holding cup with one hand.,Light and secure to hold.,5.0 out of 5 stars
Good for anyone who has trouble holding their cup steady.,The two handles give added support and balance to the cup. My mother is in Alzheimer’s care and the nurses suggested I get this for her. It’s really helped limit spills.,5.0 out of 5 stars
"Great cup, but eventually cracks",These cups work great for use with my Mom and have been approved by her speech therapist. The handle size is perfect. The disappointing issue is the fact that the cups will crack over time. I did not put any in the dishwasher this time and we still only made it about 2 and a half months before the cracks started. I then have to throw them away.,3.0 out of 5 stars
Amazing cups for Alzheimer’s patients,My late stage Alzheimers mother has enjoyed using these cups and they stopped her from being able to open up the cup to add unexpected things to her drinks.  Fantastic product!!,5.0 out of 5 stars
as advertised,extra covers are more for me to deal with,4.0 out of 5 stars
Adult sipping cup,Father is paralyzed whole right side. These are easy for him to use.,5.0 out of 5 stars
Easy to use,Thank you for a quality product,5.0 out of 5 stars
Very stable,My mother can drink by herself and the flow is not too fast.  I love the stabilizing base!,5.0 out of 5 stars
Just what we needed!,So easy for my husband to handle.,5.0 out of 5 stars
It didn't leak,I used this cup for elderly. I wanted a light weight cup with a handle. This did the job. It didn't leak either.,5.0 out of 5 stars
Not leak proof,Its a great cup but if cup tips over it spills,4.0 out of 5 stars
Clear and easy to hold cup,Easy to hold and light weight.,5.0 out of 5 stars
Quality product,A must have for someone with arthritic hands,5.0 out of 5 stars
Great Cup,"Purchased 2 for my mother in assisted living; one for her room and one to leave in the dining area.Perfect size, lightweight, durable.She likes it!!",5.0 out of 5 stars
Great Design,This is perfect for my Mom with dementia. This has helped get fluids in her because it's easy to handle.,5.0 out of 5 stars
Not dropping them,Very happy with them,5.0 out of 5 stars
Spillproof,My wife was spilling everything on her and now that we have these cups that problem has been eliminated. We love the cups.,5.0 out of 5 stars
Great product!,"These cups are perfect for my 90 year-old, bed-ridden grandmother who receives 24/7 care in her home. They are the perfect size and fit for her hands and the 2 different lids are just what we were looking for.",5.0 out of 5 stars
Great product,My father has Parkinson’s disease and it works perfectly for him,5.0 out of 5 stars
Excellent product,I love this product for a family who has essential tremors and Alzheimer’s. It’s perfect. Thank you!!!,5.0 out of 5 stars
Drinking Cup,Its great for my elderly mom and easy for her to drink but their is just one little problem. I did find that as she is drinking their is an little leakage.,4.0 out of 5 stars
It works,I was very happy to with product,5.0 out of 5 stars
Cups,Great product,5.0 out of 5 stars
Punches above it's weight,I'd rather buy this again than anything you'd get in walmart or bestbuy.,5.0 out of 5 stars
Item was perfect!,Fast shipping. Item was perfect! Thanks,5.0 out of 5 stars
Never again.,Took forever to come. The extra lids I purchased don't fit. All in all a bad purchase.,1.0 out of 5 stars
Not spill proof,These are not spill proof. You turn the cupOver the liquid runs out.,1.0 out of 5 stars
"Adult ""Sippy Cup"" is great!","I was very happy to find an adult ""sippy cup"" for my husband who has Parkinsons.  The two handles are very helpful and he can't spill his drink anymore!",5.0 out of 5 stars
Five Stars,great for adults who need help,5.0 out of 5 stars
A great cup which was easy to use & keep clean.,Mom has dementia & this was a great solution for getting her to drink independently again.,5.0 out of 5 stars
Easy to use,Only complaint is the ability to remove lids.,3.0 out of 5 stars
A little Independence regained.,At 99 mom has a hard time drinking from a glass or cup. With two handles she can have some independence and have a drink whenever she wants. 😍,5.0 out of 5 stars
BPA free and the cup has measurements for 8 oz,Clear BPA free and gives measurements to know how much has been consumed.  Using it for my daughter that has had a stroke and unable to use right side.,5.0 out of 5 stars
Great product,Perfectly Suited for adaptive needs,5.0 out of 5 stars
"Ok, but not great.","Hoping for product similar to kids non spill cups.  Not the case here.  Ok, but not as expected.",3.0 out of 5 stars
Great for seniors,My mum loves them,5.0 out of 5 stars
My second purchase,My handicapped son can handle these very easily.,5.0 out of 5 stars
Perfect for someone who shakes,Perfect for someone who shakes,5.0 out of 5 stars
Works well,Works well for people with involuntary movements,5.0 out of 5 stars
It leaks when tipped,I thought it would be more spill resistant not really what I needed,5.0 out of 5 stars
Worth it,Great for elderly people,5.0 out of 5 stars
Life Saver,My grandma recently had a mild stroke.  This product made it easier for her to drink her favorite liquids.,5.0 out of 5 stars
Easy to hold,Light weight,5.0 out of 5 stars
Awesome,My father has parkinson's and these cups really help him!,5.0 out of 5 stars
Perfect for adults.,"Liked that the cup had two different lids,  big, flat  base, and appropriate style for adults.",5.0 out of 5 stars
Double handles,"Loves it, it was perfect",5.0 out of 5 stars
easy to use,great product  for handy cap person to use,4.0 out of 5 stars
Great for people who have diminished hand function.,"My brother in law has CP, and the cup is perfect for him!! Thank you!",5.0 out of 5 stars
Good,"I love it, very security",5.0 out of 5 stars
The cup is lightweight Plus can see through it so you know have more or not,I was really surprised at the Quality and durableness so far and I also gave one as a gift to a friend I look forward to using it cuz it's lightweight easy to drink thank you very much,5.0 out of 5 stars
Three out of the four we purchased developed leaks in the bottom,"I purchased 4 of them and within a month 3 of the 4 developed leaks in the bottom. Slow leaks from cracks. Making them worthless. It is too late to return them. They are easy to hold, and until three out of 4 developed leaks I was happy with them",1.0 out of 5 stars
Perfect for elderly people and for young children!,"These mugs were purchased for my 93 year old mother who has difficulty gripping her drinking glasses that have no handles. They are very lightweight, and have large handles on both sides of the cup. One ot the covers has an opening for a straw. The other cover has more of a sippy snout.  She uses the other cup for rinsing her moth after brush brushing her teeth. Yes, she still has all her teeth!",5.0 out of 5 stars
handy little cup,"I got these for the two handles that make them easier for my mother to hold steady. The built in sippy straw on the lid is a little too small which was disappointing, but I can put some pureed things in it without the lid (nothing hot or too much fluid) and she can hold it easily to eat out of it with a spoon, and can switch hands easily if needed.  Nice and lightweight and the small size is manageable.",4.0 out of 5 stars
Perfect for my disabled daughter,"Bought these for my 5 year old with disabilities. After a small adjustment from tiny little kid sippy cups, she loves this. It comes with two different lid types, one with a spout but no spill control, and the other a sunken lid, like a travel coffee mug. The wide base makes it easier for her to set it down on multiple surfaces, such as the couch or her bed without it spilling. All in all, 10/10 would buy again.",5.0 out of 5 stars
My mom is loving these!,"Finally, a cup my 95-year-old mom can drink from without dribbling (she only has a few teeth).  These cups are just wonderful.  Be careful not to heat the liquid too hot, not because of cup durability, but because an older person might want to drink it when it's too hot and potentially scald themselves.  The cups are very easy to use and clean.  I would highly recommend them!  We are hand-washing to avoid potential scuffing of the cups.",5.0 out of 5 stars
Helpful for stroke patient,"My family member suffered a severe stroke that paralyzed the dominant side of his body.  If your loved one, like mine, cannot swallow without liquid going down the windpipe-- leading to pneumonia, etc.-- then this cup will help him/her to drink fluids independently.  The cup comes with two sipping options (holes/one bigger hole) and your loved one can choose the one that works.",5.0 out of 5 stars
Most helpful,I bought these cups for one of our Sisters who has parkinson's and has difficulty drinking from a cup.  I heard from a friend about these cup and decide to get them. They work perfectly and our Sister is very happy that she can hold them and drink for them with very little assistance.,5.0 out of 5 stars
Excellent teaching tool,This has been great teaching our adult mentally challenged son to drink by himself.  It cane used either with a straw or with the sippy cup top.  It appears to be almost indestructible as he has dropped it several times and hasn't broken yet.,5.0 out of 5 stars
They get the job done.,"They are clear so you can see what remains and go through the dishwasher well, Lids a bit hard to take on and off — guess that makes them leak free. I bought a second set for my husband because they always seemed to be in the dishwasher.",5.0 out of 5 stars
For Daddy 💜,"My dad has Parkinson's Disease and these cups came in perfectly handy. They remind me of the children's sippy cups, he can handle all of his beverages without spills. It helps him so much, he doesn't feel like he's losing all of his independence. I liked them so much this was my 2nd order!",5.0 out of 5 stars
Don’t waste your money!,This product is useless. It is described as “spill proof”. It definitely is NOT spill proof. It has a dipping spout which is great but it also has a hole for a straw (no straw included). Why would you need both? The drink pours out of the straw hole when the sipping spout is used. There’s no way to close it. This product is described as being for adults. That is the reason I purchased. It is useless for my disabled husband. Complete waste of my money!,1.0 out of 5 stars
WORKS EXACTLY AS DESCRIBED,"I bought these to give one away as a joke for my friend's sixtieth birthday party...but I kept the other one for me! They seal tightly so be aware of that...a bit difficult to get the top off...don't push TOO hard. I like it for occasional use...keeps you from gulping air. I actually put Sangria in mine and it lets me sip on the wine without overdoing it...joking, but still TRUE.",5.0 out of 5 stars
Non-tipping cups,"These are being used by someone with Parkinson's Disease.  He likes the two handles, the lightness,  and the wide base.  These cups seem to help someone who has a hand tremor.",5.0 out of 5 stars
great product,I am an occupational Therapist in a Nursing home and use this adaptive equipment to increase my clients independence with drinking fluids,5.0 out of 5 stars
Easy to handle for our disabled daughter,"We bought this mug for our daughter, who is severely disabled and has trouble holding on to cutlery or drinking devices. This works great for her.",5.0 out of 5 stars
Best Mug!,"These are the best little mugs!!! My mom has arthritic hands and these are PERFECT for her. Lightweight, easy to hold, small, but not too small...just right! I highly recommend. Would definitely purchase again. She loves them!",5.0 out of 5 stars
Good product,I bought these for my dad because he has swallowing problems and is at risk for aspiration. He is also left handed. It's has handles on both sides and he loves it.,4.0 out of 5 stars
Great Cups,These cups are good if you have an elderly parent with familial tremors. They allow one to drink without spilling the contents.,5.0 out of 5 stars
Great product!,"Works well for my father-in-law. It does not leak. The handles are large, and he is able to pick it up easily.",5.0 out of 5 stars
Works,"Very stable and easy to hold for advanced Parkinson’s patient. Lid is hard to get off when caregivers are filling, cleaning.",4.0 out of 5 stars
Easy for client to hold,Good cup for elderly person but cracked and leaked within three months,3.0 out of 5 stars
Great purchase,This is a purchase for my father who has visible tremors.  It is a very helpful item.,5.0 out of 5 stars
Great!,These cups work great for my father who has Parkinson's.  He can drink without spilling because his hands are shaky.  Thank you for a great product.,5.0 out of 5 stars
lightweight - easy to hold for old arthritic hands,"My 96 year old mom is recovering from a fall.  When I saw the nursing home using sippy cups, I ordered them for her to use when she came home.  Zip from the blender into the cup, snap on the lid, and ready to drink!",5.0 out of 5 stars
Cheap junk.,It's just a cheap thing. Not really usable,1.0 out of 5 stars
Parental Tippy Cup,My dad is a chronic spiller of anything liquid.  This cup REALLY  HELPS!,5.0 out of 5 stars
I added a stainless steel straw to the air hole.,My husband couldn't remember to tip the cup to drink out of the sippy cup so I added a straw and he is loving the cup.,5.0 out of 5 stars
Good product. Simple and helpful,Used by someone with deteriorating hand function. First purchase lasted quite awhile with some ‘rough handling.’ One finally came apart at handle attachment. Very helpful product. Simple design easy to use and clean.,4.0 out of 5 stars
Helpful,This cup is for a 93 year old woman with arthritic hands it works for her,5.0 out of 5 stars
high price for plastic cups,lids are leak resistant but difficult to put on and remove,2.0 out of 5 stars
Perfect and easy for a Grandpa with numb hands,Grandpa uses them daily for his coffee. He had numb hands and these are perfect as he drops cups a lot.,5.0 out of 5 stars
Top Quality Sipping Cup with Handles for Adults,"High quality cup with a tight seal. For sipping, but straw can also be inserted in hole in top. Large handles. Easy to use and secure. A real bargain.",5.0 out of 5 stars
cups work like a charm,for people with disabilities these cups really come in handy.,4.0 out of 5 stars
Hard to knock them over,"I bought these for my Mom.  She has very arthritic hands.  We love the way they stay upright if tilted by accident.  She does not need the lids yet, thanks to the two handles.  So glad we purchased these!",5.0 out of 5 stars
Poorly designed - not worth the cost.,Expensive for a cheap piece of crap. The Lids are so difficult to get on and off - they are not screw-ons! But should be for the price.,1.0 out of 5 stars
Works great,Would definitely buy again,5.0 out of 5 stars
Exactly as described.,Used for 91 yr old father who recently developed grasping difficulties as well a swallowing issues.  Worked just fine.,5.0 out of 5 stars
Perfect for those with Parkinson's or dementia.,"High quality, clear plastic with two side handles and a sipper lid.",5.0 out of 5 stars
They work for him.,Easy for elderly hands to hold and control.,5.0 out of 5 stars
Easy to grip,Great set of mugs one for the bathroom one for the kitchen.,5.0 out of 5 stars
Highly recommend,Great products for the elderly.  Especially ones with Parkinsons,5.0 out of 5 stars
great cup,excellent design.  well constructed.  very helpful.  thanks.,5.0 out of 5 stars
Safe Cups,My husband feels more confident with his tea and coffee because of the stability holding the cup.  Thank you!,5.0 out of 5 stars
A great adult sippy cup.,A great adult sippy cup.,5.0 out of 5 stars
The ease of using these cups with Alzheimers/Dementia patients is awesome !,Alzheimer/Dementia patients that I care for.,5.0 out of 5 stars
